commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
clinker,import,2011Q1,2011,1,13.015844867084967,4.02171275332034,10.587593988443924,construction_gva,AUD,0,449479.204,56.56399093605229,55.79658982767483,25424337.621,1,3
clinker,import,2011Q2,2011,2,13.111720468034017,3.965542375811291,10.611474083292713,construction_gva,AUD,0,494706.763,56.87392587555954,52.748871344332045,28135915.769,1,3
clinker,import,2011Q3,2011,3,13.121541000344992,3.933430755714638,10.68290416824825,construction_gva,AUD,0,499588.9805,53.38337187563327,51.08192700637679,26669744.331,1,3
clinker,import,2011Q4,2011,4,12.94199290001648,3.9613410515009533,10.667256277574845,construction_gva,AUD,0,417480.41,53.70732466943779,52.527721116021226,22421755.923,1,3
clinker,import,2012Q1,2012,1,12.994150854480175,4.027868140538223,10.705377024100308,construction_gva,AUD,0,439833.205,59.59725273811467,56.14109864834588,26212850.681,1,3
clinker,import,2012Q2,2012,2,12.668112145118572,4.068807897874592,10.714973170044157,construction_gva,AUD,0,317461.6,59.15790421581698,58.48719830366914,18780362.925,1,3
clinker,import,2012Q3,2012,3,13.301833678228519,4.009185665456127,10.722584331418851,construction_gva,AUD,0,598291.683,57.46842465132514,55.10198084188366,34382880.504,1,3
clinker,import,2012Q4,2012,4,13.01182280170496,4.0375133633632885,10.737960669186508,construction_gva,AUD,0,447675.0,58.93908813313229,56.68521188290186,26385556.28,1,3
clinker,import,2013Q1,2013,1,12.752242187236323,4.0333595638015325,10.714817688773783,construction_gva,AUD,0,345325.31275,58.50836794181692,56.45024122298628,20204420.458,1,3
clinker,import,2013Q2,2013,2,13.053414076396741,4.045071603448143,10.729853576882297,construction_gva,AUD,0,466687.0,55.648924244729336,57.11527553840204,25970629.509,1,3
clinker,import,2013Q3,2013,3,13.582403167055654,4.0682306356853575,10.749527479199216,construction_gva,AUD,0,792068.508,53.16391540717586,58.45344559855169,42109463.156,1,3
clinker,import,2013Q4,2013,4,13.424432793878667,4.083091602808563,10.76106807892895,construction_gva,AUD,0,676327.56,54.40026654244284,59.328607098531144,36792399.534,1,3
clinker,import,2014Q1,2014,1,13.564864763240978,4.0995392102372215,10.78549735043341,construction_gva,AUD,0,778298.0,54.118843283677975,60.312489815512514,42120587.49,1,3
clinker,import,2014Q2,2014,2,13.565839062900606,4.112029944763435,10.7915845500395,construction_gva,AUD,0,779056.665,57.05002541631551,61.07056169564198,44445202.539000005,1,3
clinker,import,2014Q3,2014,3,13.497407413163174,4.076480898076914,10.7553037612248,construction_gva,AUD,0,727527.74384,53.82880212003655,58.93769671503412,39161946.96,1,3
clinker,import,2014Q4,2014,4,13.625972630109143,4.1620565826785505,10.759539838018519,construction_gva,AUD,0,827341.33702,54.5228762489714,64.20342657272585,45109029.334,1,3
clinker,import,2015Q1,2015,1,13.537148915049178,4.196386762397396,10.739977214206728,construction_gva,AUD,0,757023.0,51.39578004367107,66.44581226943707,38907787.596,1,3
